Word_No,Cluster,Language,Word
138,1,Spanish,diferir de
138,2,German,sich unterscheiden
138,3,Hindi,alag
138,4,Russian,otlichatsya
138,5,Sanskrit,bhinna
139,1,English,turn
139,1,French,tour
139,1,Italian,turno
139,2,German,Wende
139,3,Hindi,mod
139,4,Latin,rursus
139,5,Spanish,giro
139,6,Russian,ochered
139,7,Sanskrit,vakra
140,1,English,cause
140,1,French,cause
140,1,Italian,causa
140,1,Latin,causam
140,2,German,Ursashe
140,3,Hindi,kaaran
140,4,Spanish,porque
140,5,Russian,prichina
140,6,Sanskrit,upapatti
141,1,Hindi,bahut
141,1,Sanskrit,bahula
141,2,English,much
141,2,Spanish,mucho
141,3,German,fiel
141,4,Italian,tantho
141,5,Latin,tantum
141,6,French,beaucoup
141,7,Russian,mnogo
142,1,French,signifier
142,1,Italian,signifikare
142,2,English,mean
142,3,German,bedeuten
142,4,Hindi,matalab
142,5,Latin,medium
142,6,Spanish,medhia
142,7,Russian,imeyu v vidu
142,8,Sanskrit,krupana
143,0,English,before
143,1,German,for
143,2,Hindi,pahale
143,3,Italian,prima
143,4,Latin,ante
143,5,Spanish,antes de
143,6,French,avant
143,7,Russian,do
143,8,Sanskrit,purvam
144,1,English,move
144,1,Latin,move
144,2,German,Bewegung
144,3,Hindi,chaal
144,4,Italian,mossa
144,5,Spanish,movimiento
144,6,French,bouge toi
144,7,Russian,pereyekhat
144,8,Sanskrit,chalati
145,0,English,right
145,1,German,Resht
145,2,Hindi,sahee
145,3,Italian,destra
145,4,Latin,iustum
145,5,Spanish,Correcto
145,6,French,droite
145,7,Russian,pravo
145,8,Sanskrit,dakshina
146,0,English,boy
146,1,German,yunge
146,2,Hindi,ladaka
146,3,Italian,ragatzo
146,4,Latin,Puer
146,5,Spanish,ninyo
146,6,French,garçon
146,7,Russian,malchik
146,8,Sanskrit,bala
147,0,English,old
147,1,German,alt
147,2,Hindi,puraana
147,3,Italian,vekhio
147,4,Latin,veteris
147,5,Spanish,antiguo
147,6,French,vieux
147,7,Russian,staryy
147,8,Sanskrit,prachina
148,0,English,too
148,1,German,aush
148,2,Hindi,bahut
148,3,Italian,pure
148,4,Latin,etiam
148,5,Spanish,tambien
148,6,French,aussi
148,7,Russian,tozhe
148,8,Sanskrit,athi
149,1,English,same
149,1,Sanskrit,sama
149,2,German,gleish
149,3,Hindi,vahee
149,4,Italian,sthesso
149,5,Latin,idem
149,6,Spanish,mismo
149,7,French,même
149,8,Russian,tak zhe
150,1,Italian,racconthare
150,1,Spanish,contar
150,2,English,tell
150,3,German,zagen
150,4,Hindi,kahana
150,5,Latin,amen dico
150,6,French,dire
150,7,Russian,skazat
150,8,Sanskrit,vadati
151,1,English,does
151,1,Latin,does
151,2,German,tut
151,3,Hindi,kar dethe hai
151,4,Italian,fa
151,5,Spanish,hacer
151,6,French,Est-ce que
151,7,Russian,"delayet 
"
151,8,Sanskrit,
152,1,English,set
152,1,Hindi,set
152,2,German,einstellen
152,3,Italian,impostato
152,4,Latin,statuto
152,5,Spanish,conhunto
152,6,French,ensemble
152,7,Russian,zadavat
152,8,Sanskrit,asta
153,1,English,three
153,1,Italian,thre
153,2,German,drei
153,3,Hindi,teen
153,4,Latin,tribus
153,5,Spanish,Tres
153,6,French,Trois
153,7,Russian,tri
153,8,Sanskrit,tisrah
154,0,English,want
154,1,German,wollen
154,2,Hindi,chaahate hain
154,3,Italian,volere
154,4,Latin,cupio
154,5,Spanish,querer
154,6,French,vouloir
154,7,Russian,khochu
154,8,Sanskrit,iccha
155,1,English,air
155,1,French,air
155,1,Spanish,aire
155,2,German,Luft
155,3,Hindi,vaayu
155,4,Italian,aria
155,5,Latin,caeli
155,6,Russian,vozdukh
155,7,Sanskrit,vyoman
156,1,French,bien
156,1,Italian,bene
156,1,Latin,bene
156,1,Spanish,bien
156,2,English,well
156,3,German,Gut
156,4,Hindi,kuna
156,5,Russian,Chto zh
156,6,Sanskrit,kalya
157,0,English,also
157,1,German,ebenfalls
157,2,Hindi,bhee
157,3,Italian,anke
157,4,Latin,etiam
157,5,Spanish,ademas
157,6,French,également
157,7,Russian,takzhe
157,8,Sanskrit,tatha
158,0,English,play
158,1,German,abspielen
158,2,Hindi,ple
158,3,Italian,jiokare
158,4,Latin,ludere
158,5,Spanish,hugar
158,6,French,jouer
158,7,Russian,igrat
158,8,Sanskrit,khel
159,0,English,small
159,1,German,klein
159,2,Hindi,chhota
159,3,Italian,piccolo
159,4,Latin,Parvus
159,5,Spanish,peqenyo
159,6,French,petit
159,7,Russian,malenkiy
159,8,Sanskrit,laghu
160,1,French,fin
160,1,Italian,fine
160,1,Latin,finis
160,1,Spanish,fin
160,2,Hindi,samaapt
160,2,Sanskrit,samapti
160,3,English,end
160,4,German,Ende
160,5,Russian,konets
161,1,French,mettre
161,1,Italian,mettere
161,2,English,put
161,3,German,ztellen
161,4,Hindi,daal
161,5,Latin,posuit
161,6,Spanish,poner
161,7,Russian,polozhil
161,8,Sanskrit,sthapayati
162,1,Italian,casa
162,1,Spanish,casa
162,2,English,home
162,3,German,Zuhause
162,4,Hindi,ghar
162,5,Latin,domum
162,6,French,maison
162,7,Russian,Glavnaya
162,8,Sanskrit,gruha
163,1,Italian,leggere
163,1,Latin,legere
163,1,Spanish,leer
163,2,English,read
163,3,German,lesen
163,4,Hindi,padhana
163,5,French,lis
163,6,Russian,chitat
163,7,Sanskrit,patathi
164,1,English,hand
164,1,German,Hand
164,2,French,main
164,2,Italian,mano
164,2,Spanish,mano
164,3,Hindi,haath
164,4,Latin,manibus
164,5,Russian,ruka
164,6,Sanskrit,hasta
165,1,English,port
165,1,French,Port
165,1,Italian,portha
165,1,Latin,portum
165,1,Russian,port
165,2,German,Hafen
165,3,Hindi,bandaragaah
165,4,Spanish,Puertho
165,5,Sanskrit,
166,1,French,grand
166,1,Italian,grande
166,1,Spanish,grande
166,2,English,large
166,3,German,gross
166,4,Hindi,vishaal
166,5,Latin,magna
166,6,Russian,bolshoy
166,7,Sanskrit,vizala
167,0,English,spell
167,1,German,buchstabieren
167,2,Hindi,jaadoo
167,3,Italian,sillabare
167,4,Latin,exponentia
167,5,Spanish,delethrear
167,6,French,épeler
167,7,Russian,orfografii
167,8,Sanskrit,abhichara
168,1,English,add
168,1,Latin,adde
168,2,German,hinzufügen
168,3,Hindi,jodana
168,4,Italian,Inserishi
168,5,Spanish,anyadir
168,6,French,ajouter
168,7,Russian,dobavlyat
168,8,Sanskrit,samachinoti
169,0,English,even
169,1,German,zogar
169,2,Hindi,yahaan tak kee
169,3,Italian,anke
169,4,Latin,etiam
169,5,Spanish,incluso
169,6,French,même
169,7,Russian,chetnoye
169,8,Sanskrit,api
170,1,French,terre
170,1,Italian,therra
170,1,Latin,terra
170,1,Spanish,thierra
170,2,Hindi,bhoomi
170,2,Sanskrit,bhumi
170,3,English,land
170,4,German,Lant
170,5,Russian,zemelnyye uchastki
171,0,English,here
171,1,German,Hier
171,2,Hindi,yahaan
171,3,Italian,Qui
171,4,Latin,hic
171,5,Spanish,aqui
171,6,French,ici
171,7,Russian,Vot
171,8,Sanskrit,
172,0,English,must
172,1,German,Muss
172,2,Hindi,jaroor
172,3,Italian,dhovere
172,4,Latin,"oportet,"
172,5,Spanish,dhebe
172,6,French,doit
172,7,Russian,dolzhen
172,8,Sanskrit,avashyam
173,1,Italian,grande
173,1,Spanish,grande
173,2,French,gros
173,2,German,gross
173,3,English,big
173,4,Hindi,bade
173,5,Latin,magnum
173,6,Russian,bolshoy
173,7,Sanskrit,bruhat
174,1,Hindi,uchch
174,1,Sanskrit,ucch
174,2,Italian,altho
174,2,Spanish,altho
174,3,English,high
174,4,German,hoch
174,5,Latin,altum
174,6,French,haute
174,7,Russian,vysoko
175,0,English,such
175,1,German,eine solche
175,2,Hindi,aisa
175,3,Italian,come
175,4,Latin,haec
175,5,Spanish,tal
175,6,French,tel
175,7,Russian,takiye
175,8,Sanskrit,tatha
176,1,Italian,Seguire
176,1,Latin,sequitur
176,1,Spanish,seguir
176,2,English,follow
176,3,German,Folgen
176,4,Hindi,ka paalan karen
176,5,French,suivre
176,6,Russian,sledovat
176,7,Sanskrit,aacharita
177,1,English,act
177,1,French,acte
177,1,Italian,attho
177,1,Latin,actum
177,1,Spanish,actho
177,2,German,Handlung
177,3,Hindi,adhiniyam
177,4,Russian,akt
177,5,Sanskrit,kriya
178,1,Italian,perke
178,1,Spanish,por ke
178,2,English,why
178,3,German,Warum
178,4,Hindi,kyoon kar
178,5,Latin,Quare
178,6,French,Pourquoi
178,7,Russian,Zachem
178,8,Sanskrit,kena
179,0,English,ask
179,1,German,Fragen
179,2,Hindi,poochhana
179,3,Italian,Chiedhere
179,4,Latin,quaerere
179,5,Spanish,pedhir
179,6,French,demander
179,7,Russian,prosit
179,8,Sanskrit,prachati
180,1,English,men
180,1,German,men
180,1,Latin,men
180,2,Hindi,purusho
180,2,Sanskrit,purusha
180,3,Italian,uamini
180,4,Spanish,hombres
180,5,French,Hommes
180,6,Russian,prosit
181,1,English,change
181,1,French,changement
181,2,German,feyanderung
181,3,Hindi,parivartan
181,4,Italian,modifikare
181,5,Latin,mutatio
181,6,Spanish,cambio
181,7,Russian,menyat
181,8,Sanskrit,parinati
182,1,English,went
182,1,Latin,went
182,2,German,ging
182,3,Hindi,chala gaya
182,4,Italian,andhatho
182,5,Spanish,fuimos
182,6,French,est allé
182,7,Russian,"otpravilsya
"
182,8,Sanskrit,
183,0,English,light
183,1,German,Lisht
183,2,Hindi,roshanee
183,3,Italian,luche
183,4,Latin,lux
183,5,Spanish,ligero
183,6,French,lumière
183,7,Russian,svet
183,8,Sanskrit,prakasha
184,0,English,kind
184,1,German,nett
184,2,Hindi,meharabaan
184,3,Italian,genere
184,4,Latin,genus
184,5,Spanish,tipo
184,6,French,gentil
184,7,Russian,Dobryy
184,8,Sanskrit,dayalu
185,1,English,off
185,1,Latin,off
185,2,German,aus
185,3,Hindi,band
185,4,Italian,via
185,5,Spanish,apagado
185,6,French,de
185,7,Russian,ot
185,8,Sanskrit,duram
186,0,English,need
186,1,German,braushen
186,2,Hindi,jarurat
186,3,Italian,bisonyo
186,4,Latin,necessitudo
186,5,Spanish,necesithar
186,6,French,avoir besoin
186,7,Russian,neobkhodimost
186,8,Sanskrit,avashyakatha
187,1,Italian,kasa
187,1,Spanish,kasa
187,2,English,house
187,2,Latin,house
187,3,German,haus
187,4,Hindi,makhan
187,5,French,maison
187,6,Russian,zhiloy dom
187,7,Sanskrit,vasathi
188,1,French,image
188,1,Italian,immagine
188,1,Spanish,imagen
188,2,Hindi,chitr
188,2,Sanskrit,chitra
188,3,English,picture
188,3,Latin,picturae
188,4,German,Bild
188,5,Russian,kartina
189,0,English,try
189,1,German,Versuchen
189,2,Hindi,prayatn
189,3,Italian,provare
189,4,Latin,tentant
189,5,Spanish,thrathar
189,6,French,essayer
189,7,Russian,pytatsya
189,8,Sanskrit,
190,1,English,us
190,1,German,uns
190,2,Italian,noi
190,2,Latin,nobis
190,3,Hindi,hamen
190,4,Spanish,nosothros
190,5,French,nous
190,6,Russian,nas
190,7,Sanskrit,vayam
191,0,English,again
191,1,German,nochmal
191,2,Hindi,phir
191,3,Italian,ancora
191,4,Latin,rursus
191,5,Spanish,otra vez
191,6,French,encore
191,7,Russian,snova
191,8,Sanskrit,punah
192,1,English,animal
192,1,French,animal
192,1,Italian,animale
192,1,Latin,"animalis,"
192,1,Spanish,animal
192,2,German,Tier
192,3,Hindi,jaanavar
192,4,Russian,zhivotnoye
192,5,Sanskrit,pashu
193,1,Hindi,bindu
193,1,Sanskrit,bindu
193,2,English,point
193,2,French,point
193,3,Italian,puntho
193,3,Spanish,puntho
193,4,German,Punkt
193,5,Latin,illud
193,6,Russian,tochka
194,1,Italian,madhre
194,1,Spanish,madhre
194,2,Hindi,maan
194,2,Russian,mama
194,3,English,mother
194,3,Latin,mater
194,3,Sanskrit,matru
194,4,German,Mutter
194,5,French,mère
195,1,French,monde
195,1,Italian,mondho
195,1,Spanish,mundho
195,2,English,world
195,3,German,Welt
195,4,Hindi,vishv
195,5,Latin,orbis
195,6,Russian,Mir
195,7,Sanskrit,jivaloka
196,0,English,near
196,1,German,nahe
196,2,Hindi,paas mein
196,3,Italian,vicino
196,4,Latin,prope
196,5,Spanish,cerca
196,6,French,près
196,7,Russian,vozle
196,8,Sanskrit,samipa
197,1,French,construire
197,1,Italian,costruire
197,1,Spanish,construir
197,2,English,build
197,3,German,bauen
197,4,Hindi,nirmaan
197,5,Latin,ædificem
197,6,Russian,stroit
197,7,Sanskrit,nirmimite
198,0,English,self
198,1,German,zelbst
198,2,Hindi,svayan
198,3,Italian,se stesso
198,4,Latin,sui
198,5,Spanish,yo
198,6,French,soi
198,7,Russian,sam
198,8,Sanskrit,atma
199,1,Hindi,prthvee
199,1,Sanskrit,prthvi
199,2,Italian,therra
199,2,Latin,terra
199,2,Spanish,thierra
199,3,English,earth
199,4,German,Erde
199,5,French,Terre
199,6,Russian,zemnoy shar
200,1,English,father
200,1,German,fater
200,1,Latin,pater
200,2,Italian,padhre
200,2,Spanish,padhre
200,3,Hindi,pita
200,4,French,père
200,5,Russian,otets
200,6,Sanskrit,janaka
